eternam: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.7805, pretrained-bert-20: 0.7695
inperpetuum: pretrained-bert-rand1: 0.9974, pretrained-bert-rand2: 0.9974, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.8913, pretrained-bert-20: 0.8732
rata: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.8342, pretrained-bert-20: 0.8741
terminum: pretrained-bert-rand1: 0.9953, pretrained-bert-rand2: 0.9936, pretrained-bert-rand3: 0.9958, finetuned-bert: 0.9111, pretrained-bert-20: 0.8758
notum: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9041, pretrained-bert-20: 0.8799
anglorum: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.8807, pretrained-bert-20: 0.8824
loci: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9115, pretrained-bert-20: 0.8835
perpetuum: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9399, pretrained-bert-20: 0.8846
presenti: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.8754, pretrained-bert-20: 0.8858
heredibus: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.8194, pretrained-bert-20: 0.8859
apostoli: pretrained-bert-rand1: 0.9886, pretrained-bert-rand2: 0.9928, pretrained-bert-rand3: 0.9939, finetuned-bert: 0.9435, pretrained-bert-20: 0.8866
clericus: pretrained-bert-rand1: 0.9954, pretrained-bert-rand2: 0.9867, pretrained-bert-rand3: 0.9914, finetuned-bert: 0.8861, pretrained-bert-20: 0.8893
eos: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.8666, pretrained-bert-20: 0.8904
lond: pretrained-bert-rand1: 0.9905, pretrained-bert-rand2: 0.9838, pretrained-bert-rand3: 0.9966, finetuned-bert: 0.8695, pretrained-bert-20: 0.8908
wintoniensis: pretrained-bert-rand1: 0.9900, pretrained-bert-rand2: 0.9955, pretrained-bert-rand3: 0.9921, finetuned-bert: 0.8996, pretrained-bert-20: 0.8931
manus: pretrained-bert-rand1: 0.9961, pretrained-bert-rand2: 0.9940, pretrained-bert-rand3: 0.9943, finetuned-bert: 0.8179, pretrained-bert-20: 0.8932
eiusdem: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9287, pretrained-bert-20: 0.8944
beate: pretrained-bert-rand1: 0.9974, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.9480, pretrained-bert-20: 0.8947
meis: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8938, pretrained-bert-20: 0.8962
ius: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.8603, pretrained-bert-20: 0.8976
multis: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.8958, pretrained-bert-20: 0.8977
rei: pretrained-bert-rand1: 0.9969, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9932, finetuned-bert: 0.8368, pretrained-bert-20: 0.8983
hereditatem: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.8376, pretrained-bert-20: 0.8992
gratia: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.8778, pretrained-bert-20: 0.9011
hunc: pretrained-bert-rand1: 0.9938, pretrained-bert-rand2: 0.9939, pretrained-bert-rand3: 0.9916, finetuned-bert: 0.8996, pretrained-bert-20: 0.9011
episcopis: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8666, pretrained-bert-20: 0.9017
usus: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9962, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9179, pretrained-bert-20: 0.9024
regni: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8438, pretrained-bert-20: 0.9025
tunc: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.8973, pretrained-bert-20: 0.9027
sex: pretrained-bert-rand1: 0.9959, pretrained-bert-rand2: 0.9964, pretrained-bert-rand3: 0.9965, finetuned-bert: 0.9348, pretrained-bert-20: 0.9031
apostolorum: pretrained-bert-rand1: 0.9878, pretrained-bert-rand2: 0.9933, pretrained-bert-rand3: 0.9958, finetuned-bert: 0.9119, pretrained-bert-20: 0.9031
quos: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.8150, pretrained-bert-20: 0.9037
facta: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9022, pretrained-bert-20: 0.9041
iuris: pretrained-bert-rand1: 0.9919, pretrained-bert-rand2: 0.9953, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9020, pretrained-bert-20: 0.9048
permaneat: pretrained-bert-rand1: 0.9977, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9072, pretrained-bert-20: 0.9049
hereditate: pretrained-bert-rand1: 0.9949, pretrained-bert-rand2: 0.9966, pretrained-bert-rand3: 0.9908, finetuned-bert: 0.8787, pretrained-bert-20: 0.9052
fidelibus: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9106, pretrained-bert-20: 0.9054
duobus: pretrained-bert-rand1: 0.9946, pretrained-bert-rand2: 0.9948, pretrained-bert-rand3: 0.9927, finetuned-bert: 0.9356, pretrained-bert-20: 0.9063
seruitio: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9448, pretrained-bert-20: 0.9075
tota: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9944, finetuned-bert: 0.9118, pretrained-bert-20: 0.9076
predictum: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9099, pretrained-bert-20: 0.9078
presentis: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8987, pretrained-bert-20: 0.9078
prefatus: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9945, pretrained-bert-rand3: 0.9956, finetuned-bert: 0.9290, pretrained-bert-20: 0.9085
decem: pretrained-bert-rand1: 0.9941, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9954, finetuned-bert: 0.9344, pretrained-bert-20: 0.9086
quidem: pretrained-bert-rand1: 0.9954, pretrained-bert-rand2: 0.9931, pretrained-bert-rand3: 0.9963, finetuned-bert: 0.9287, pretrained-bert-20: 0.9087
prefati: pretrained-bert-rand1: 0.9958, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9956, finetuned-bert: 0.9295, pretrained-bert-20: 0.9087
predictam: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9215, pretrained-bert-20: 0.9088
hiis: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.8935, pretrained-bert-20: 0.9089
predicto: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9229, pretrained-bert-20: 0.9091
episcopus: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.8423, pretrained-bert-20: 0.9098
huic: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9969, pretrained-bert-rand3: 0.9965, finetuned-bert: 0.8660, pretrained-bert-20: 0.9100
prefatam: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9960, pretrained-bert-rand3: 0.9933, finetuned-bert: 0.8699, pretrained-bert-20: 0.9105
mater: pretrained-bert-rand1: 0.9850, pretrained-bert-rand2: 0.9943, pretrained-bert-rand3: 0.9902, finetuned-bert: 0.8836, pretrained-bert-20: 0.9120
presbiter: pretrained-bert-rand1: 0.9916, pretrained-bert-rand2: 0.9880, pretrained-bert-rand3: 0.9942, finetuned-bert: 0.9022, pretrained-bert-20: 0.9122
primo: pretrained-bert-rand1: 0.9963, pretrained-bert-rand2: 0.9956, pretrained-bert-rand3: 0.9932, finetuned-bert: 0.9207, pretrained-bert-20: 0.9122
dedi: pretrained-bert-rand1: 0.9962, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9017, pretrained-bert-20: 0.9128
prefato: pretrained-bert-rand1: 0.9964, pretrained-bert-rand2: 0.9958, pretrained-bert-rand3: 0.9945, finetuned-bert: 0.9084, pretrained-bert-20: 0.9132
precipio: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9050, pretrained-bert-20: 0.9137
infra: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.8924, pretrained-bert-20: 0.9140
pertinere: pretrained-bert-rand1: 0.9938, pretrained-bert-rand2: 0.9896, pretrained-bert-rand3: 0.9933, finetuned-bert: 0.9186, pretrained-bert-20: 0.9147
unde: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.8725, pretrained-bert-20: 0.9148
has: pretrained-bert-rand1: 0.9947, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9960, finetuned-bert: 0.9167, pretrained-bert-20: 0.9152
finem: pretrained-bert-rand1: 0.9933, pretrained-bert-rand2: 0.9856, pretrained-bert-rand3: 0.9948, finetuned-bert: 0.9401, pretrained-bert-20: 0.9156
petri: pretrained-bert-rand1: 0.9981, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9676, pretrained-bert-20: 0.9159
omnino: pretrained-bert-rand1: 0.9912, pretrained-bert-rand2: 0.9961, pretrained-bert-rand3: 0.9919, finetuned-bert: 0.9088, pretrained-bert-20: 0.9161
donatio: pretrained-bert-rand1: 0.9977, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.8944, pretrained-bert-20: 0.9162
liberum: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9953, finetuned-bert: 0.8628, pretrained-bert-20: 0.9166
frater: pretrained-bert-rand1: 0.9963, pretrained-bert-rand2: 0.9967, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.8859, pretrained-bert-20: 0.9179
quatinus: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9932, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.8853, pretrained-bert-20: 0.9179
cuius: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.8094, pretrained-bert-20: 0.9180
teneat: pretrained-bert-rand1: 0.9969, pretrained-bert-rand2: 0.9960, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9103, pretrained-bert-20: 0.9180
quinque: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9964, finetuned-bert: 0.9330, pretrained-bert-20: 0.9187
episcopo: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9323, pretrained-bert-20: 0.9190
predicti: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9168, pretrained-bert-20: 0.9195
aliquam: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9966, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9213, pretrained-bert-20: 0.9198
nostrum: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9906, finetuned-bert: 0.8824, pretrained-bert-20: 0.9206
aliis: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9383, pretrained-bert-20: 0.9210
dedit: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9090, pretrained-bert-20: 0.9212
potestate: pretrained-bert-rand1: 0.9906, pretrained-bert-rand2: 0.9960, pretrained-bert-rand3: 0.9926, finetuned-bert: 0.9161, pretrained-bert-20: 0.9219
inde: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9164, pretrained-bert-20: 0.9219
domino: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9255, pretrained-bert-20: 0.9224
trinitatis: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9966, pretrained-bert-rand3: 0.9953, finetuned-bert: 0.9411, pretrained-bert-20: 0.9226
eboracensis: pretrained-bert-rand1: 0.9954, pretrained-bert-rand2: 0.9971, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9076, pretrained-bert-20: 0.9230
hida: pretrained-bert-rand1: 0.9960, pretrained-bert-rand2: 0.9947, pretrained-bert-rand3: 0.9962, finetuned-bert: 0.8880, pretrained-bert-20: 0.9231
testibus: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9999, finetuned-bert: 0.8986, pretrained-bert-20: 0.9231
iure: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9451, pretrained-bert-20: 0.9232
semper: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9959, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9273, pretrained-bert-20: 0.9240
fratres: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9965, pretrained-bert-rand3: 0.9942, finetuned-bert: 0.9377, pretrained-bert-20: 0.9242
nostro: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.8924, pretrained-bert-20: 0.9247
coram: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.8986, pretrained-bert-20: 0.9257
his: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.8562, pretrained-bert-20: 0.9258
apud: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9319, pretrained-bert-20: 0.9260
liberam: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.8836, pretrained-bert-20: 0.9270
comes: pretrained-bert-rand1: 0.9969, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9125, pretrained-bert-20: 0.9271
uita: pretrained-bert-rand1: 0.9956, pretrained-bert-rand2: 0.9974, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9007, pretrained-bert-20: 0.9277
una: pretrained-bert-rand1: 0.9942, pretrained-bert-rand2: 0.9927, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.9059, pretrained-bert-20: 0.9281
locis: pretrained-bert-rand1: 0.9969, pretrained-bert-rand2: 0.9964, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9372, pretrained-bert-20: 0.9288
nostri: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9043, pretrained-bert-20: 0.9289
testimonio: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9961, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9233, pretrained-bert-20: 0.9290
pars: pretrained-bert-rand1: 0.9886, pretrained-bert-rand2: 0.9870, pretrained-bert-rand3: 0.9877, finetuned-bert: 0.9315, pretrained-bert-20: 0.9297
post: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9272, pretrained-bert-20: 0.9298
rex: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9272, pretrained-bert-20: 0.9300
marie: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9533, pretrained-bert-20: 0.9313
perpetua: pretrained-bert-rand1: 0.9935, pretrained-bert-rand2: 0.9920, pretrained-bert-rand3: 0.9888, finetuned-bert: 0.9259, pretrained-bert-20: 0.9315
tres: pretrained-bert-rand1: 0.9961, pretrained-bert-rand2: 0.9919, pretrained-bert-rand3: 0.9962, finetuned-bert: 0.9516, pretrained-bert-20: 0.9315
die: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9214, pretrained-bert-20: 0.9316
dei: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.8995, pretrained-bert-20: 0.9317
amen: pretrained-bert-rand1: 0.9931, pretrained-bert-rand2: 0.9942, pretrained-bert-rand3: 0.9949, finetuned-bert: 0.9166, pretrained-bert-20: 0.9319
salutem: pretrained-bert-rand1: 0.9999, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9594, pretrained-bert-20: 0.9319
hac: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9040, pretrained-bert-20: 0.9324
me: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.8902, pretrained-bert-20: 0.9324
fuit: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9070, pretrained-bert-20: 0.9326
regina: pretrained-bert-rand1: 0.9926, pretrained-bert-rand2: 0.9936, pretrained-bert-rand3: 0.9935, finetuned-bert: 0.9345, pretrained-bert-20: 0.9328
dominus: pretrained-bert-rand1: 0.9969, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9423, pretrained-bert-20: 0.9334
pascuis: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9350, pretrained-bert-20: 0.9346
nostris: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9102, pretrained-bert-20: 0.9351
crucis: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9039, pretrained-bert-20: 0.9353
prefatum: pretrained-bert-rand1: 0.9961, pretrained-bert-rand2: 0.9934, pretrained-bert-rand3: 0.9950, finetuned-bert: 0.9139, pretrained-bert-20: 0.9354
aliquid: pretrained-bert-rand1: 0.9968, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9962, finetuned-bert: 0.9426, pretrained-bert-20: 0.9356
perpetuam: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9037, pretrained-bert-20: 0.9357
ideo: pretrained-bert-rand1: 0.9952, pretrained-bert-rand2: 0.9958, pretrained-bert-rand3: 0.9970, finetuned-bert: 0.9279, pretrained-bert-20: 0.9358
ibi: pretrained-bert-rand1: 0.9981, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.8811, pretrained-bert-20: 0.9368
id: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.8676, pretrained-bert-20: 0.9372
fieri: pretrained-bert-rand1: 0.9937, pretrained-bert-rand2: 0.9928, pretrained-bert-rand3: 0.9888, finetuned-bert: 0.9232, pretrained-bert-20: 0.9374
tribus: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.8665, pretrained-bert-20: 0.9374
predicta: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9136, pretrained-bert-20: 0.9379
incarnatione: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9519, pretrained-bert-20: 0.9382
ego: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.8332, pretrained-bert-20: 0.9384
dono: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9969, finetuned-bert: 0.9357, pretrained-bert-20: 0.9384
tamen: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9984, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9207, pretrained-bert-20: 0.9385
dominice: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9124, pretrained-bert-20: 0.9388
aliquo: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.9365, pretrained-bert-20: 0.9388
xx: pretrained-bert-rand1: 0.9977, pretrained-bert-rand2: 0.9954, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9180, pretrained-bert-20: 0.9388
filii: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9095, pretrained-bert-20: 0.9391
amore: pretrained-bert-rand1: 0.9945, pretrained-bert-rand2: 0.9954, pretrained-bert-rand3: 0.9918, finetuned-bert: 0.9517, pretrained-bert-20: 0.9392
suum: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9450, pretrained-bert-20: 0.9393
unius: pretrained-bert-rand1: 0.9920, pretrained-bert-rand2: 0.9971, pretrained-bert-rand3: 0.9962, finetuned-bert: 0.9345, pretrained-bert-20: 0.9395
incarnationis: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9199, pretrained-bert-20: 0.9395
consensu: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9382, pretrained-bert-20: 0.9396
nomine: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.8978, pretrained-bert-20: 0.9399
mihi: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9212, pretrained-bert-20: 0.9403
quas: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9531, pretrained-bert-20: 0.9404
seculari: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9345, pretrained-bert-20: 0.9407
sancte: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9106, pretrained-bert-20: 0.9408
suorum: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9410, pretrained-bert-20: 0.9409
